Sport,Event,EventType,EventType,Gold,NameOfGoldMedalWinner,Silver,NameOfSilverMedalWinner,Bronze,NameOfBronzeMedalWinner
Volleyball,Men's indoor,Team,Male,Brazil,Maurício Souza,Italy,Ivan Zaytsev,UnitedStates,Murphy Troy
Volleyball,Women's indoor,Team,Female,China,Ding Xia,Serbia,Tijana Boškovi?,UnitedStates,Rachael Adams
Volleyball,Women's indoor,Team,Female,China,Gong Xiangyu,Serbia,Jovana Brako?evi?,UnitedStates,Foluke Akinradewo
Volleyball,Women's indoor,Team,Female,China,Hui Ruoqi,Serbia,Bianka Buša,UnitedStates,Kayla Banwarth
Volleyball,Women's indoor,Team,Female,China,Lin Li,Serbia,Tijana Maleševi?,UnitedStates,Alisha Glass
Volleyball,Women's indoor,Team,Female,China,Liu Xiaotong,Serbia,Brankica Mihajlovi?,UnitedStates,Christa Harmotto
Volleyball,Women's indoor,Team,Female,China,Wei Qiuyue,Serbia,Jelena Nikoli?,UnitedStates,Kimberly Hill
Volleyball,Women's indoor,Team,Female,China,Xu Yunli,Serbia,Maja Ognjenovi?,UnitedStates,Jordan Larson
Volleyball,Women's indoor,Team,Female,China,Yan Ni,Serbia,Silvija Popovi?,UnitedStates,Carli Lloyd
Volleyball,Women's indoor,Team,Female,China,Yang Fangxu,Serbia,Milena Raši?,UnitedStates,Karsta Lowe
Volleyball,Women's indoor,Team,Female,China,Yuan Xinyue,Serbia,Jovana Stevanovi?,UnitedStates,Kelly Murphy
Volleyball,Women's indoor,Team,Female,China,Zhang Changning,Serbia,Stefana Veljkovi?,UnitedStates,Kelsey Robinson
Volleyball,Women's indoor,Team,Female,China,Zhu Ting,Serbia,Bojana Živkovi?,UnitedStates,Courtney Thompson
Beach volleyball,Men's beach,Team,Male,Brazil,Alison Cerutti,Italy,Daniele Lupo,Netherlands,Alexander Brouwer
Beach volleyball,Men's beach,Team,Male,Brazil,Bruno Oscar Schmidt,Italy,Paolo Nicolai,Netherlands,Robert Meeuwsen
Beach volleyball,Women's beach,Team,Female,Germany,Laura Ludwig,Brazil,Ágatha Bednarczuk,UnitedStates,Kerri Walsh Jennings
Beach volleyball,Women's beach,Team,Female,Germany,Kira Walkenhorst,Brazil,Bárbara Seixas,UnitedStates,April Ross
Weightlifting,56 kg,Individual,Male,China,Long Qingquan,NorthKorea,Om Yun-chol,Thailand,Sinphet Kruaithong
Weightlifting,62 kg,Individual,Male,Columbia,Óscar Figueroa,Indonesia,Eko Yuli Irawan,Kazakhstan,Farkhad Kharki
Weightlifting,69 kg,Individual,Male,China,Shi Zhiyong,Turkey,Daniyar Ismayilov,Columbia,Luis Javier Mosquera
Weightlifting,77 kg,Individual,Male,Kazakhstan,Nijat Rahimov,China,Lü Xiaojun,Egypt,Mohamed Ihab
Weightlifting,85 kg,Individual,Male,Iran,Kianoush Rostami,China,Tian Tao,Romania,Gabriel Sîncr?ian
Weightlifting,94 kg,Individual,Male,Iran,Sohrab Moradi,Belarus,Vadzim Straltsou,Lithuania,Aurimas Didžbalis
Weightlifting,105 kg,Individual,Male,Uzbekistan,Ruslan Nurudinov,Armenia,Simon Martirosyan,Kazakhstan,Aleksandr Zaychikov
Weightlifting,105+ kg,Individual,Male,Georgia,Lasha Talakhadze,Armenia,Gor Minasyan,Georgia,Irakli Turmanidze
Weightlifting,48 kg,Individual,Female,Thailand,Sopita Tanasan,Indonesia,Sri Wahyuni Agustiani,Japan,Hiromi Miyake
Weightlifting,53 kg,Individual,Female,ChineseTaipei,Hsu Shu-ching,Philippines,Hidilyn Diaz,SouthKorea,Yoon Jin-hee
Weightlifting,58 kg,Individual,Female,Thailand,Sukanya Srisurat,Thailand,Pimsiri Sirikaew,Chinese Taipei,Kuo Hsing-chun
Weightlifting,63 kg,Individual,Female,China,Deng Wei,NorthKorea,Choe Hyo-sim,Kazakhstan,Karina Goricheva
Weightlifting,69 kg,Individual,Female,China,Xiang Yanmei,Kazakhstan,Zhazira Zhapparkul,Egypt,Sara Ahmed
Weightlifting,75 kg,Individual,Female,NorthKorea,Rim Jong-sim,Belarus,Darya Naumava,Spain,Lidia Valentín
Weightlifting,75+ kg,Individual,Female,China,Meng Suping,NorthKorea,Kim Kuk-hyang,UnitedStates,Sarah Robles
Wrestling,Men's freestyle - 57 kg,Individual,Male,Georgia,Vladimer Khinchegashvili,Japan,Rei Higuchi,Azerbaijan,Haji Aliyev
Wrestling,Men's freestyle - 57 kg,Individual,Male,NoMedal,NoMedal,NoMedal,NoMedal,Iran,Hassan Rahimi
Wrestling,Men's freestyle - 65 kg,Individual,Male,Russia,Soslan Ramonov,Azerbaijan,Toghrul Asgarov,Italy,Frank Chamizo
Wrestling,Men's freestyle - 65 kg,Individual,Male,NoMedal,NoMedal,NoMedal,NoMedal,Uzbekistan,Ikhtiyor Navruzov
Wrestling,Men's freestyle - 74 kg,Individual,Male,Iran,Hassan Yazdani,Russia,Aniuar Geduev,Azerbaijan,Jabrayil Hasanov
Wrestling,Men's freestyle - 74 kg,Individual,Male,NoMedal,NoMedal,NoMedal,NoMedal,Turkey,Soner Demirta?
Wrestling,Men's freestyle - 86 kg,Individual,Male,Russia,Abdulrashid Sadulaev,Turkey,Selim Ya?ar,Azerbaijan,Sharif Sharifov
Wrestling,Men's freestyle - 86 kg,Individual,Male,NoMedal,NoMedal,NoMedal,NoMedal,UnitedStates,J'den Cox
Wrestling,Men's freestyle - 97 kg,Individual,Male,UnitedStates,Kyle Snyder,Azerbaijan,Khetag Gazyumov,Romania,Albert Saritov
Wrestling,Men's freestyle - 97 kg,Individual,Male,NoMedal,NoMedal,NoMedal,NoMedal,Uzbekistan,Magomed Ibragimov
Wrestling,Men's freestyle - 125 kg,Individual,Male,Turkey,Taha Akgül,Iran,Komeil Ghasemi,Belarus,Ibrahim Saidau
Wrestling,Men's freestyle - 125 kg,Individual,Male,NoMedal,NoMedal,NoMedal,NoMedal,Georgia,Geno Petriashvili
Wrestling,Men's Greco-Roman - 59 kg,Individual,Male,Cuba,Ismael Borrero,Japan,Shinobu Ota,Uzbekistan,Elmurat Tasmuradov
Wrestling,Men's Greco-Roman - 59 kg,Individual,Male,NoMedal,NoMedal,NoMedal,NoMedal,Norway,Stig André Berge
Wrestling,Men's Greco-Roman - 66 kg,Individual,Male,Serbia,Davor Štefanek,Armenia,Migran Arutyunyan,Georgia,Shmagi Bolkvadze
Wrestling,Men's Greco-Roman - 66 kg,Individual,Male,NoMedal,NoMedal,NoMedal,NoMedal,Azerbaijan,Rasul Chunayev
Wrestling,Men's Greco-Roman - 75 kg,Individual,Male,Russia,Roman Vlasov,Denmark,Mark Madsen,SouthKorea,Kim Hyeon-woo
Wrestling,Men's Greco-Roman - 75 kg,Individual,Male,NoMedal,NoMedal,NoMedal,NoMedal,Iran,Saeid Abdevali
Wrestling,Men's Greco-Roman - 85 kg,Individual,Male,Russia,Davit Chakvetadze,Ukraine,Zhan Beleniuk,Belarus,Javid Hamzatau
Wrestling,Men's Greco-Roman - 85 kg,Individual,Male,NoMedal,NoMedal,NoMedal,NoMedal,Germany,Denis Kudla
Wrestling,Men's Greco-Roman - 98 kg,Individual,Male,Armenia,Artur Aleksanyan,Cuba,Yasmany Lugo,Turkey,Cenk ?ldem
Wrestling,Men's Greco-Roman - 98 kg,Individual,Male,NoMedal,NoMedal,NoMedal,NoMedal,Iran,Ghasem Rezaei
Wrestling,Men's Greco-Roman - 130 kg,Individual,Male,Cuba,Mijaín López,Turkey,R?za Kayaalp,Azerbaijan,Sabah Shariati
Wrestling,Men's Greco-Roman - 130 kg,Individual,Male,NoMedal,NoMedal,NoMedal,NoMedal,Russia,Sergey Semenov
Wrestling,Women's freestyle - 48 kg,Individual,Female,Japan,Eri Tosaka,Azerbaijan,Mariya Stadnik,China,Sun Yanan
Wrestling,Women's freestyle - 48 kg,Individual,Female,NoMedal,NoMedal,NoMedal,NoMedal,Bulgaria,Elitsa Yankova
Wrestling,Women's freestyle - 53 kg,Individual,Female,UnitedStates,Helen Maroulis,Japan,Saori Yoshida,Azerbaijan,Nataliya Synyshyn
Wrestling,Women's freestyle - 53 kg,Individual,Female,NoMedal,NoMedal,NoMedal,NoMedal,Sweden,Sofia Mattsson
Wrestling,Women's freestyle - 58 kg,Individual,Female,Japan,Kaori Icho,Russia,Valeria Koblova,Tunisia,Marwa Amri
Wrestling,Women's freestyle - 58 kg,Individual,Female,NoMedal,NoMedal,NoMedal,NoMedal,India,Sakshi Malik
Wrestling,Women's freestyle - 63 kg,Individual,Female,Japan,Risako Kawai,Belarus,Maryia Mamashuk,Kazakhstan,Yekaterina Larionova
Wrestling,Women's freestyle - 63 kg,Individual,Female,NoMedal,NoMedal,NoMedal,NoMedal,Poland,Monika Michalik
Wrestling,Women's freestyle - 69 kg,Individual,Female,Japan,Sara Dosho,Russia,Nataliya Vorobyova,Kazakhstan,Elmira Syzdykova
Wrestling,Women's freestyle - 69 kg,Individual,Female,NoMedal,NoMedal,NoMedal,NoMedal,Sweden,Jenny Fransson
Wrestling,Women's freestyle - 75 kg,Individual,Female,Canada,Erica Wiebe,Kazakhstan,Guzel Manyurova,China,Zhang Fengliu
Wrestling,Women's freestyle - 75 kg,Individual,Female,NoMedal,NoMedal,NoMedal,NoMedal,Russia,Ekaterina Bukina
