Sport,Event,EventType,EventType,Gold,NameOfGoldMedalWinner,Silver,NameOfSilverMedalWinner,Bronze,NameOfBronzeMedalWinner
Cycling-Track_cycling,Men's Keirin,Individual,Male,GreatBritain,Jason Kenny,Netherlands,Matthijs Buchli,Malaysia,Azizulhasni Awang
Cycling-Track_cycling,Women's Keirin,Individual,Female,Netherlands,Elis Ligtlee,GreatBritain,Becky James,Australia,Anna Meares
Cycling-Track_cycling,Men's Omnium,Individual,Male,Italy,Elia Viviani,GreatBritain,Mark Cavendish,Denmark,Lasse Norman Hansen
Cycling-Track_cycling,Women's Omnium,Individual,Female,GreatBritain,Laura Trott,UnitedStates,Sarah Hammer,Belgium,Jolien D'Hoore
Cycling-Track_cycling,Men's team pursuit,Team,Male,GreatBritain,Ed Clancy,Australia,Alexander Edmondson,Denmark,Lasse Norman Hansen
Cycling-Track_cycling,Men's team pursuit,Team,Male,GreatBritain,Steven Burke,Australia,Jack Bobridge,Denmark,Niklas Larsen
Cycling-Track_cycling,Men's team pursuit,Team,Male,GreatBritain,Owain Doull,Australia,Michael Hepburn,Denmark,Frederik Madsen
Cycling-Track_cycling,Men's team pursuit,Team,Male,GreatBritain,Bradley Wiggins,Australia,Sam Welsford,Denmark,Casper von Folsach
Cycling-Track_cycling,Men's team pursuit,Team,Male,NoMedal,NoMedal,Australia,Callum Scotson,Denmark,Rasmus Quaade
Cycling-Track_cycling,Women's team pursuit,Team,Female,GreatBritain,Katie Archibald,UnitedStates,Sarah Hammer,Canada,Allison Beveridge
Cycling-Track_cycling,Women's team pursuit,Team,Female,GreatBritain,Laura Trott,UnitedStates,Kelly Catlin,Canada,Jasmin Glaesser
Cycling-Track_cycling,Women's team pursuit,Team,Female,GreatBritain,Elinor Barker,UnitedStates,Chloe Dygert,Canada,Kirsti Lay
Cycling-Track_cycling,Women's team pursuit,Team,Female,GreatBritain,Joanna Rowsell,UnitedStates,Jennifer Valente,Canada,Georgia Simmerling
Cycling-Track_cycling,Women's team pursuit,Team,Female,NoMedal,NoMedal,NoMedal,NoMedal,Canada,Laura Brown
Cycling-Track_cycling,Men's individual sprint,Individual,Male,GreatBritain,Jason Kenny,GreatBritain,Callum Skinner,Russia,Denis Dmitriev
Cycling-Track_cycling,Women's individual sprint,Individual,Female,Germany,Kristina Vogel,GreatBritain,Becky James,GreatBritain,Katy Marchant
Cycling-Track_cycling,Men's team sprint,Team,Male,GreatBritain,Philip Hindes,NewZealand,Eddie Dawkins,France,Grégory Baugé
Cycling-Track_cycling,Men's team sprint,Team,Male,GreatBritain,Jason Kenny,NewZealand,Ethan Mitchell,France,Michaël D'Almeida
Cycling-Track_cycling,Men's team sprint,Team,Male,GreatBritain,Callum Skinner,NewZealand,Sam Webster,France,François Pervis
Cycling-Track_cycling,Women's team sprint,Team,Female,China,Gong Jinjie,Russia,Daria Shmeleva,Germany,Miriam Welte
Cycling-Track_cycling,Women's team sprint,Team,Female,China,Zhong Tianshi,Russia,Anastasia Voynova,Germany,Kristina Vogel
Cycling-Mountain_biking,Men's cross-country,Individual,Male,Switzerland,Nino Schurter,CzechRepublic,Jaroslav Kulhavý,Spain,Carlos Coloma Nicolas
Cycling-Mountain_biking,Women's cross-country,Individual,Female,Sweden,Jenny Rissveds,Poland,Maja W?oszczowska,Canada,Catharine Pendrel
Cycling-BMX,Men,Individual,Male,UnitedStates,Connor Fields,Netherlands,Jelle van Gorkom,Columbia,Carlos Ramirez
Cycling-BMX,Women,Individual,Female,Columbia,Mariana Pajón,UnitedStates,Alise Post,Venezuela,Stefany Hernandez
Diving,3 m springboard,Individual,Male,China,Cao Yuan,Netherlands,Jack Laugher,Germany,Patrick Hausding
Diving,10 m platform,Individual,Male,China,Chen Aisen,Mexico,Germán Sánchez,UnitedStates,David Boudia
Diving,Synchronized 3 m springboard,Team,Male,GreatBritain,Chris Mears,UnitedStates,Sam Dorman,China,Cao Yuan
Diving,Synchronized 3 m springboard,Team,Male,GreatBritain,Jack Laugher,UnitedStates,Michael Hixon,China,Qin Kai
Diving,Synchronized 10 m platform,Team,Male,China,Chen Aisen,UnitedStates,David Boudia,GreatBritain,Tom Daley
Diving,Synchronized 10 m platform,Team,Male,China,Lin Yue,UnitedStates,Steele Johnson,GreatBritain,Daniel Goodfellow
Diving,3 m springboard,Individual,Female,China,Shi Tingmao,China,He Zi,Italy,Tania Cagnotto
Diving,10 m platform,Individual,Female,China,Ren Qian,China,Si Yajie,Canada,Meaghan Benfeito
Diving,Synchronized 3 m springboard,Team,Female,China,Shi Tingmao,Italy,Tania Cagnotto,Australia,Maddison Keeney
Diving,Synchronized 3 m springboard,Team,Female,China,Wu Minxia,Italy,Francesca Dallapé,Australia,Anabelle Smith
Diving,Synchronized 10 m platform,Team,Female,China,Chen Ruolin,Malaysia,Francesca Dallapé,Canada,Meaghan Benfeito
Diving,Synchronized 10 m platform,Team,Female,China,Liu Huixia,Malaysia,Pandelela Rinong,Canada,Roseline Filion
Equestrian,Individual dressage,Individual,Female,GreatBritain,Charlotte Dujardin,Germany,Isabell Werth,Germany,Kristina Bröring-Sprehe
Equestrian,Team dressage,Team,Mixed,Germany,Sönke Rothenberger,GreatBritain,Spencer Wilton,UnitedStates,Allison Brock
Equestrian,Team dressage,Team,Mixed,Germany,Dorothee Schneider,GreatBritain,Fiona Bigwood,UnitedStates,Kasey Perry-Glass
Equestrian,Team dressage,Team,Mixed,Germany,Kristina Bröring-Sprehe,GreatBritain,Carl Hester,UnitedStates,Steffen Peters
Equestrian,Team dressage,Team,Mixed,Germany,Isabell Werth,GreatBritain,Charlotte Dujardin,UnitedStates,Laura Graves
Equestrian,Individual eventing,Individual,Check,Germany,Michael Jung,France,Astier Nicolas,UnitedStates,Phillip Dutton
Equestrian,Team eventing,Team,Check,France,Karim Laghouag,Germany,Julia Krajewski,Australia,Shane Rose
Equestrian,Team eventing,Team,Check,France,Thibaut Vallette,Germany,Sandra Auffarth,Australia,Stuart Tinney
Equestrian,Team eventing,Team,Check,France,Mathieu Lemoine,Germany,Ingrid Klimke,Australia,Sam Griffiths
